BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
6 - RIO PARANÁ;RIO AREIA;MT;POXORÉO;PRIMAVERA;PRIMAVERA;;1;Fluviométrica;66420160;PCH POXORÉO RIO AREIA;-15.8342;-54.4056;161;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;30/9/2013;;30/9/2013;;;;;;;31/1/2014;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66420160;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66420160;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66420160;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66420160;-54.405599999999936;-15.834199999999953
6 - RIO PARANÁ;RIO POXOREU;MT;POXORÉO;PRIMAVERA;PRIMAVERA;;1;Fluviométrica;66420250;PCH POXORÉO JUSANTE;-15.8508;-54.3753;1360;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;30/9/2013;;30/9/2013;30/9/2013;;;;;;31/12/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66420250;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66420250;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66420250;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66420250;-54.37529999999998;-15.850799999999936
6 - RIO PARANÁ;RIO POXOREU;MT;POXORÉO;PRIMAVERA;PRIMAVERA;;1;Fluviométrica;66420180;PCH POXORÉO BARRAMENTO;-15.8386;-54.3819;1200;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Não;31/12/2013;;;;;;;;;31/12/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66420180;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66420180;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66420180;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66420180;-54.38189999999997;-15.838599999999929
6 - RIO PARANÁ;RIO POXOREU;MT;POXORÉO;PRIMAVERA;PRIMAVERA;;1;Fluviométrica;66420000;PCH POXORÉO MONTANTE;-15.7975;-54.3608;945;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;30/9/2013;;30/9/2013;30/9/2013;;;;;;31/12/2013;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66420000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66420000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66420000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66420000;-54.36079999999998;-15.797499999999957
6 - RIO PARANÁ;CÓRREGO AREIAL;MT;JUSCIMEIRA;GERAOESTE;GERAOESTE;;1;Fluviométrica;66390090;PCH SÃO LOURENÇO RIO AREIAL;-16.045;-54.8867;738;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;31/7/2015;;31/7/2015;31/7/2015;;;;;;31/7/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66390090;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66390090;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66390090;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66390090;-54.88669999999996;-16.04499999999996
6 - RIO PARANÁ;RIO TENENTE AMARAL;MT;JACIARA;JACIARA;JACIARA;;1;Fluviométrica;66388000;PCH CACHOEIRA DA FUMAÇA JUSANTE;-15.9792;-55.0328;;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;31/7/2014;;31/7/2014;31/7/2014;;;;;;31/7/2014;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66388000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66388000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66388000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66388000;-55.03279999999995;-15.979199999999935
6 - RIO PARANÁ;RIO TENENTE AMARAL;MT;JACIARA;CAMBARÁ;CAMBARÁ;;1;Fluviométrica;66385500;CGH CAMBARÁ JUSANTE;-15.9767;-55.0836;320;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;31/5/2015;;31/5/2015;31/5/2015;;;;;;31/5/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66385500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66385500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66385500;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66385500;-55.08359999999993;-15.976699999999937
6 - RIO PARANÁ;RIO TENENTE AMARAL;MT;JACIARA;EMBAÚBA;EMBAÚBA;;1;Fluviométrica;66386000;CGH EMBAÚBA JUSANTE;-15.9872;-55.0711;325;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;;Não;;Não;Não;Sim;31/5/2015;;31/5/2015;31/5/2015;;;;;;31/5/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66386000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66386000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66386000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66386000;-55.071099999999944;-15.987199999999973
6 - RIO PARANÁ;RIO SÃO LOURENÇO;MT;BARÃO DE MELGAÇO;ANA;CPRM;CPRM-GO;24;Fluviométrica;66470000;SÃO JOSÉ DO BORIRÉU;-16.9253;-56.2236;24100;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;;Não;;Sim;;Sim;30/9/1968;;30/11/1968;31/12/2006;31/12/2006;;;;;30/6/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66470000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66470000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66470000;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66470000;-56.223599999999976;-16.925299999999936
6 - RIO PARANÁ;RIO SÃO LOURENÇO;MT;CAMPO VERDE;SEMA-MT;SEMA-MT;;;Fluviométrica;66375300;CAMPO VERDE;-15.5475;-55.1186;57;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;;Não;;Não;;;;;31/5/2002;;;;;;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=66375300;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=66375300;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=66375300;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=66375300;-55.11859999999996;-15.547499999999957
