BACIA;RIO;ESTADO;MUNICIPIO;RESPONSAVEL;OPERADORA;OPERADORA_UNIDADE;ROTEIRO;TIPOESTACAO;CODIGO;NOME;LATITUDE;LONGITUDE;AREADRENAGEM;OPERANDO;TIPOESTACAOESCALA;TIPOESTACAOREGISTRADORNIVEL;TIPOESTACAODESCLIQUIDA;TIPOESTACAOSEDIMENTOS;TIPOESTACAOQUALAGUA;TIPOESTACAOTELEMETRICA;TIPOESTACAOPLUVIOMETRO;TIPOESTACAOREGISTRADORCHUVA;TIPOESTACAOTANQUEEVAPO;TIPOESTACAOCLIMATOLOGICA;TIPOREDEBASICA;TIPOREDEENERGETICA;TIPOREDENAVEGACAO;TIPOREDECURSODAGUA;TIPOREDEESTRATEGICA;TIPOREDECAPTACAO;TIPOREDESEDIMENTOS;TIPOREDEQUALAGUA;TIPOREDECLASSEVAZAO;PERIODOESCALAINICIO;PERIODOREGISTRADORNIVELINICIO;PERIODODESCLIQUIDAINICIO;PERIODOSEDIMENTOSINICIO;PERIODOQUALAGUAINICIO;PERIODOPLUVIOMETROINICIO;PERIODOREGISTRADORCHUVAINICIO;PERIODOTANQUEEVAPOINICIO;PERIODOCLIMATOLOGICAINICIO;PERIODOTELEMETRICAINICIO;Baixar Dados;Baixar MDB (Convencional);Baixar TXT (Convencional);Baixar CSV (Convencional);x;y
6 - RIO PARANÁ;;MT;JACIARA;EMBAÚBA;EMBAÚBA;;1;Pluviométrica;1555019;CGH EMBAÚBA JUSANTE;-15.9872;-55.0711;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/5/2015;;;;31/5/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1555019;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1555019;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1555019;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1555019;-55.071099999999944;-15.987199999999973
6 - RIO PARANÁ;;MT;JAURU;OMBREIRAS;OMBREIRAS;;;Pluviométrica;1558014;PCH OMBREIRAS JUSANTE;-15.1322;-58.7297;328;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/3/2015;;;;31/3/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1558014;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1558014;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1558014;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1558014;-58.72969999999998;-15.132199999999955
6 - RIO PARANÁ;;MT;JAURU;INDIAVAI ENERG;INDIAVAI ENERG;;1;Pluviométrica;1558011;PCH INDIAVAÍ BARRAMENTO;-15.2622;-58.7222;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/9/2018;;;;30/9/2018;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1558011;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1558011;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1558011;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1558011;-58.72219999999999;-15.26219999999995
6 - RIO PARANÁ;;MT;JAURU;CONS.JAURU;CONS.JAURU;;1;Pluviométrica;1558013;UHE JAURU BARRAMENTO;-15.2378;-58.7297;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/5/2014;;;;31/5/2014;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1558013;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1558013;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1558013;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1558013;-58.72969999999998;-15.237799999999936
6 - RIO PARANÁ;;MT;JUSCIMEIRA;GERAOESTE;GERAOESTE;;1;Pluviométrica;1654013;PCH SÃO LOURENÇO RIO AREIAL;-16.045;-54.8867;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/7/2015;;;;31/7/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1654013;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1654013;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1654013;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1654013;-54.88669999999996;-16.04499999999996
6 - RIO PARANÁ;;MT;JUSCIMEIRA;GERAOESTE;GERAOESTE;;1;Pluviométrica;1654012;PCH SÃO LOURENÇO MONTANTE;-16.0394;-54.9397;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/7/2015;;;;31/7/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1654012;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1654012;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1654012;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1654012;-54.93969999999996;-16.039399999999944
6 - RIO PARANÁ;;MT;JUSCIMEIRA;GERAOESTE;GERAOESTE;;1;Pluviométrica;1654011;PCH SÃO LOURENÇO JUSANTE;-16.2189;-54.9431;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/7/2015;;;;31/7/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1654011;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1654011;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1654011;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1654011;-54.94309999999996;-16.218899999999962
6 - RIO PARANÁ;;MT;JUSCIMEIRA;IBÓ;IBÓ;;;Pluviométrica;1655007;PCH SETE QUEDAS ALTAS MONTANTE;-16.2994;-55.0622;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/7/2015;;;;31/7/2015;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1655007;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1655007;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1655007;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1655007;-55.06219999999996;-16.299399999999935
6 - RIO PARANÁ;;MT;JUSCIMEIRA;PRATA;PRATA;;1;Pluviométrica;1655009;PCH ÁGUA PRATA JUSANTE;-16.0964;-55.0425;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/6/2017;;;;30/6/2017;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1655009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1655009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1655009;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1655009;-55.04249999999996;-16.09639999999996
6 - RIO PARANÁ;;MT;JUSCIMEIRA;PRATA;PRATA;;1;Pluviométrica;1654016;PCH ÁGUA BRAVA JUSANTE;-16.1039;-54.9908;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;30/6/2018;;;;30/6/2018;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1654016;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1654016;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1654016;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1654016;-54.99079999999998;-16.103899999999953
6 - RIO PARANÁ;;MT;JUSCIMEIRA;PCH BELEZA;PCH BELEZA;;1;Pluviométrica;1655010;PCH BELEZA BARRAMENTO;-16.1836;-55.0144;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;;Não;Não;Não;;;;;;31/12/2021;;;;31/12/2021;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1655010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1655010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1655010;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1655010;-55.014399999999966;-16.183599999999956
6 - RIO PARANÁ;;MT;LAMBARI D'OESTE;SEMA-MT;HYDROCONSULT;;;Pluviométrica;1557006;FAZENDA SANTA RITA DO SEPOTUBA;-15.2308;-57.6981;;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;;Não;Não;Não;;;;;;31/7/2011;;;;31/7/2011;http://www.snirh.gov.br/hidroweb/serieshistoricas?codigoEstacao=1557006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=1&documentos=1557006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=2&documentos=1557006;http://www.snirh.gov.br/hidroweb/rest/api/documento/convencionais?tipo=3&documentos=1557006;-57.698099999999954;-15.230799999999931
